20170602162726.362531, 020617, 162730.50, -118.453900, +33.965882, 234.47, 235.45, 5.03,  19.9595,   33.398,   4.59180, 00676.0
20170602162727.367325, 020617, 162731.50, -118.453923, +33.965869, 234.77, 234.82, 5.10,  19.9619,   33.397,   4.59185, 00673.0
20170602162736.516956, 020617, 162732.50, -118.453947, +33.965855, 235.17, 236.10, 5.06,  19.9650,   33.397,   4.59223, 00672.0
20170602162737.379638, 020617, 162741.50, -118.454160, +33.965737, 236.75, 238.56, 5.07,  19.9676,   33.397,   4.59242, 00687.0
20170602162737.892044, 020617, 162742.00, -118.454172, +33.965731, 237.60, 236.22, 5.09,  19.9693,   33.398,   4.59267, 00690.0
20170602162738.881828, 020617, 162743.00, -118.454195, +33.965718, 238.64, 237.19, 5.09,  19.9727,   33.397,   4.59298, 00695.0
20170602162739.871610, 020617, 162744.00, -118.454220, +33.965705, 239.48, 236.32, 5.11,  19.9750,   33.396,   4.59300, 00710.0
20170602162740.377009, 020617, 162744.50, -118.454232, +33.965699, 240.99, 239.13, 5.12,  19.9774,   33.396,   4.59332, 00714.0
20170602162741.366792, 020617, 162745.50, -118.454255, +33.965686, 242.02, 238.59, 5.11,  19.9798,   33.397,   4.59359, 00715.0
20170602162741.875195, 020617, 162746.00, -118.454268, +33.965681, 243.94, 239.90, 5.11,  19.9817,   33.396,   4.59366, 00719.0
20170602162742.867980, 020617, 162747.00, -118.454293, +33.965669, 244.80, 241.73, 5.10,  19.9833,   33.395,   4.59373, 00725.0
20170602162743.362370, 020617, 162747.50, -118.454305, +33.965663, 246.68, 241.70, 5.09,  19.9842,   33.395,   4.59380, 00740.0
20170602162744.382178, 020617, 162748.50, -118.454330, +33.965653, 247.54, 245.38, 5.03,  19.9852,   33.395,   4.59394, 00730.0
20170602162744.866564, 020617, 162749.00, -118.454343, +33.965648, 249.57, 244.20, 5.06,  19.9850,   33.394,   4.59378, 00746.0
20170602162745.864351, 020617, 162750.00, -118.454368, +33.965639, 250.42, 246.65, 5.02,  19.9843,   33.394,   4.59371, 00749.0
20170602162746.362760, 020617, 162750.50, -118.454382, +33.965634, 252.68, 247.49, 5.01,  19.9827,   33.394,   4.59357, 00750.0
20170602162747.372544, 020617, 162751.50, -118.454408, +33.965626, 253.83, 249.74, 5.02,  19.9807,   33.394,   4.59337, 00747.0
20170602162748.408361, 020617, 162752.50, -118.454433, +33.965618, 255.87, 250.88, 5.01,  19.9783,   33.393,   4.59298, 00772.0
20170602162749.366120, 020617, 162753.50, -118.454460, +33.965611, 257.59, 255.85, 5.02,  19.9747,   33.394,   4.59281, 00756.0
20170602162749.886532, 020617, 162754.00, -118.454473, +33.965608, 259.39, 254.45, 5.02,  19.9719,   33.393,   4.59239, 00768.0
20170602162750.864305, 020617, 162755.00, -118.454502, +33.965602, 260.05, 255.09, 5.10,  19.9678,   33.394,   4.59210, 00753.0
20170602162751.374709, 020617, 162755.50, -118.454515, +33.965599, 259.05, 256.40, 5.10,  19.9640,   33.394,   4.59169, 00770.0
20170602162752.365493, 020617, 162756.50, -118.454543, +33.965595, 257.20, 259.82, 5.06,  19.9602,   33.394,   4.59131, 00765.0
20170602162752.861884, 020617, 162757.00, -118.454557, +33.965593, 251.77, 260.31, 5.06,  19.9562,   33.393,   4.59088, 00764.0
20170602162753.875686, 020617, 162758.00, -118.454583, +33.965588, 248.53, 256.37, 4.98,  19.9519,   33.394,   4.59058, 00764.0
20170602162754.366074, 020617, 162758.50, -118.454597, +33.965585, 243.15, 253.84, 4.96,  19.9484,   33.392,   4.58997, 00763.0
20170602162755.361864, 020617, 162759.50, -118.454623, +33.965578, 241.22, 248.95, 4.93,  19.9441,   33.394,   4.58983, 00764.0
20170602162755.864259, 020617, 162800.00, -118.454637, +33.965574, 239.21, 246.49, 4.93,  19.9417,   33.394,   4.58949, 00761.0
20170602162756.873057, 020617, 162801.00, -118.454660, +33.965563, 239.10, 241.56, 4.90,  19.9386,   33.394,   4.58926, 00763.0
20170602162757.365446, 020617, 162801.50, -118.454672, +33.965558, 240.23, 239.28, 4.93,  19.9367,   33.396,   4.58928, 00774.0
20170602162758.394261, 020617, 162802.50, -118.454697, +33.965546, 242.31, 240.05, 4.97,  19.9348,   33.395,   4.58897, 00772.0
20170602162759.358023, 020617, 162803.50, -118.454720, +33.965535, 243.14, 239.00, 4.98,  19.9336,   33.396,   4.58898, 00784.0
20170602162759.860424, 020617, 162804.00, -118.454732, +33.965529, 242.99, 242.31, 4.98,  19.9330,   33.396,   4.58896, 00784.0
20170602162800.867217, 020617, 162805.00, -118.454757, +33.965519, 242.62, 240.99, 4.99,  19.9319,   33.395,   4.58872, 00774.0
20170602162801.383626, 020617, 162805.50, -118.454768, +33.965513, 239.83, 245.49, 4.98,  19.9302,   33.396,   4.58863, 00773.0
20170602162802.367408, 020617, 162806.50, -118.454793, +33.965503, 238.17, 241.13, 4.96,  19.9286,   33.395,   4.58836, 00770.0
20170602162802.869800, 020617, 162807.00, -118.454807, +33.965498, 234.10, 242.35, 4.99,  19.9276,   33.395,   4.58827, 00769.0
20170602162803.867591, 020617, 162808.00, -118.454830, +33.965486, 232.08, 237.93, 4.98,  19.9258,   33.395,   4.58815, 00754.0
20170602162804.370989, 020617, 162808.50, -118.454842, +33.965480, 227.98, 237.13, 4.95,  19.9236,   33.394,   4.58781, 00734.0
20170602162805.363779, 020617, 162809.50, -118.454865, +33.965467, 226.38, 232.30, 4.95,  19.9211,   33.396,   4.58781, 00734.0
20170602162806.369570, 020617, 162810.50, -118.454885, +33.965452, 225.05, 228.97, 4.94,  19.9200,   33.395,   4.58757, 00716.0
20170602162807.362356, 020617, 162811.50, -118.454905, +33.965436, 226.76, 226.82, 4.91,  19.9183,   33.396,   4.58753, 00691.0
20170602162808.418195, 020617, 162812.50, -118.454925, +33.965420, 229.51, 225.94, 4.97,  19.9185,   33.397,   4.58765, 00677.0
20170602162809.364939, 020617, 162813.50, -118.454945, +33.965405, 232.43, 228.97, 5.01,  19.9201,   33.398,   4.58790, 00663.0
20170602162810.365734, 020617, 162814.50, -118.454967, +33.965390, 234.73, 229.83, 4.95,  19.9223,   33.397,   4.58806, 00650.0
20170602162811.366522, 020617, 162815.50, -118.454988, +33.965376, 236.68, 233.16, 5.01,  19.9264,   33.397,   4.58847, 00636.0
20170602162812.368315, 020617, 162816.50, -118.455012, +33.965362, 238.20, 236.81, 5.03,  19.9307,   33.397,   4.58877, 00622.0
20170602162813.367106, 020617, 162817.50, -118.455035, +33.965349, 239.89, 236.43, 5.08,  19.9362,   33.398,   4.58948, 00622.0
20170602162814.363897, 020617, 162818.50, -118.455058, +33.965337, 241.05, 237.56, 5.09,  19.9421,   33.397,   4.58999, 00608.0
20170602162815.409722, 020617, 162819.50, -118.455083, +33.965325, 241.82, 240.07, 5.06,  19.9488,   33.397,   4.59054, 00603.0
20170602162816.391497, 020617, 162820.50, -118.455108, +33.965313, 241.89, 240.39, 5.07,  19.9546,   33.398,   4.59123, 00600.0
20170602162817.370271, 020617, 162821.50, -118.455133, +33.965302, 241.90, 242.24, 5.06,  19.9618,   33.397,   4.59192, 00596.0
20170602162823.302551, 020617, 162822.50, -118.455158, +33.965291, 242.04, 242.48, 5.08,  19.9698,   33.396,   4.59249, 00596.0
20170602162823.890014, 020617, 162828.00, -118.455297, +33.965231, 244.46, 244.80, 5.15,  19.9758,   33.395,   4.59300, 00598.0
20170602162824.884800, 020617, 162829.00, -118.455323, +33.965221, 244.56, 244.12, 5.18,  19.9804,   33.396,   4.59353, 00607.0
20170602162825.395203, 020617, 162829.50, -118.455337, +33.965216, 244.83, 246.19, 5.19,  19.9868,   33.395,   4.59410, 00605.0
20170602162826.382985, 020617, 162830.50, -118.455362, +33.965206, 244.81, 245.53, 5.18,  19.9919,   33.393,   4.59428, 00606.0
